,week_T-0,FERARI__T-0,VPD__T-0,TSS__T-0,Cracking index__T-0,Acceptance_Score__T-0,Shattering(%)__T-0,FER_RG__T-0,weight__T-0,Rachis_Score__T-0,Firmness__T-0,berry weight__T-0
0,3,0.7103,0.11,20.7,1,5.0,0,2.796,629.4,0.0,1.60001526416885,20.7
1,3,0.6513,0.11,19.2,1,5.0,0,4.331,727.16,0.0,2.1211803492995913,19.2
2,3,0.4775,0.11,19.7,1,5.0,0,3.236,687.57,0.0,2.5014509836018113,19.7
3,3,0.6319,0.11,16.9,1,5.0,0,2.895,709.24,0.0,2.7279676575434944,16.9
4,3,0.538,0.11,18.2,1,5.0,0,4.017,709.33,0.0,2.5930287716887146,18.2
5,3,0.5647,0.11,20.3,1,4.5,0,2.543,609.2,0.0,2.041114373440381,20.3
6,3,0.4217,0.11,18.4,1,5.0,0,3.72,735.9,0.0,2.9178774341306437,18.4
7,3,0.4582,0.11,17.5,1,5.0,0,3.472,742.56,0.0,2.7290741003921006,17.5
8,3,0.5255,0.11,17.4,1,5.0,0,2.911,603.83,0.0,2.815395129514905,17.4
9,3,0.3126,0.11,18.9,1,5.0,0,2.517,688.84,0.0,2.2464533430341684,18.9
10,3,0.4657,0.11,17.2,1,5.0,0,3.836,722.75,0.0,2.305065234919975,17.2
11,3,0.4897,0.11,17.5,1,5.0,0,3.762,709.47,0.0,3.2401749000294187,17.5
12,3,0.4608,0.11,17.5,1,5.0,0,2.674,722.22,0.0,2.242366806832255,17.5
13,3,0.4741,0.11,18.4,1,5.0,0,3.885,731.98,0.0,2.799286541776667,18.4
14,3,0.6273,0.11,16.4,1,5.0,0,4.514,730.97,0.0,2.172207053202384,16.4
15,3,0.284,0.11,15.2,1,5.0,0,2.685,665.0,0.0,3.05001924725369,15.2
16,3,0.444,0.11,19.1,1,5.0,0,2.344,664.3,0.0,1.285044169212476,19.1
17,3,0.39,0.11,17.5,1,5.0,0,2.558,707.22,0.0,2.4577950192769555,17.5
18,3,0.6321,0.11,18.7,1,5.0,0,4.471,730.54,0.0,3.628972631473157,18.7
19,3,0.3691,0.11,17.8,1,5.0,0,2.818,693.52,0.0,3.1564891829879658,17.8
20,3,0.4933,0.11,18.3,1,5.0,0,2.557,722.74,0.0,1.819677908267239,18.3
21,3,0.476,0.11,17.9,1,5.0,0,4.704,693.88,0.0,3.188509472644264,17.9
22,3,0.6837,0.11,17.6,1,4.5,0,3.924,766.5,0.0,1.44686859950717,17.6
23,3,0.5486,0.11,18.3,1,5.0,0,3.117,711.38,0.0,2.702063769164749,18.3
24,3,0.3021,0.11,17.4,1,5.0,0,2.84,601.25,0.0,2.228668914957982,17.4
25,3,0.3727,0.11,15.6,1,5.0,0,3.65,685.6,0.0,1.4443691663721383,15.6
26,3,0.6573,0.11,16.3,1,5.0,0,5.732,699.99,0.0,2.283165615898093,16.3
27,3,0.4569,0.11,16.5,1,5.0,0,2.656,590.38,0.0,2.363212180479257,16.5
28,6,0.6166,0.097,18.0,1,5.0,0,3.291,665.86,0.0,2.4796724539810713,18.0
29,6,0.4819,0.097,19.2,1,5.0,0,2.758,665.74,0.0,1.8409563663916575,19.2
30,6,0.6339,0.097,18.6,1,5.0,0,4.913,694.92,0.0,3.1125559146910287,18.6
